,aerobic_lb,aerobic_EX_cm_e,aerobic_EX_lys__L_e,aerobic_EX_dmso_e,anaerobic_lb,anaerobic_EX_cm_e,anaerobic_EX_lys__L_e,anaerobic_EX_dmso_e
idi,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
selA,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
paaH,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
rfbC,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
trpC,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
treA,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
metC,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
nudE,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
lysA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
hycD,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
rihB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
ddpC,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
trpD,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
ycjG,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
wcaH,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
alsA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
napH,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
pepA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
gshB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
potF,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
potA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
aroK,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
gatA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
dppF,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
treF,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
hemX,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
napB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
dld,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
btuB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
hemN,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,-2.089484451840398e-10,-2.089484451840398e-10,-2.089484451840398e-10,5.711252315778341e-11
potG,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.05105785271573,33.05105785271573,33.05105785271573,35.735444065947654
