,aerobic_lb,aerobic_EX_cm_e,aerobic_EX_lys__L_e,aerobic_EX_dmso_e,anaerobic_lb,anaerobic_EX_cm_e,anaerobic_EX_lys__L_e,anaerobic_EX_dmso_e
nrfA,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
paaG,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
feaB,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
fes,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
fhuF,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
kdpC,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
cysI,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
grxB,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
gatD,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
metE,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
dkgB,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
idi,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
selA,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
paaH,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
rfbC,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
trpC,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
treA,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
glgP,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
aroP,41.94598631419366,41.94598631419366,41.94598631419366,44.62698337285913,33.009084593171295,33.009084593171295,33.009084593171295,35.690061764558074
panC,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
cobC,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
gudX,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
fdnH,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
yrbG,0.0,0.0,0.0,0.0,-9.726449552911332e-12,-9.726449552911332e-12,-9.726449552911332e-12,-4.2659866460139924e-13
glnH,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
xdhB,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
caiT,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
manY,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
trxC,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
pstA,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
xapB,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
xylE,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
astD,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
arnB,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
ulaE,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
cobU,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
avtA,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
menF,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
dsdA,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
arnT,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
malP,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
sdhB,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
gabD,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
tonB,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
yhfW,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
sbp,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
gltS,41.99932383835667,41.99932383835667,41.99932383835667,44.68372998947557,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
cyoC,40.20996044351,40.20996044351,40.20996044351,42.89438266418619,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
uxaC,41.99932383835666,41.99932383835666,41.99932383835666,44.683729989475594,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
alsE,41.99932383835666,41.99932383835666,41.99932383835666,44.683729989475594,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
fumA,41.99932383835666,41.99932383835666,41.99932383835666,44.683729989475594,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
sodB,41.99932383835666,41.99932383835666,41.99932383835666,44.683729989475594,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
ndk,41.99932383835666,41.99932383835666,41.99932383835666,44.683729989475594,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
uxaA,41.99932383835666,41.99932383835666,41.99932383835666,44.683729989475594,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
yaaJ,41.99932383835666,41.99932383835666,41.99932383835666,44.683729989475594,33.05105785270857,33.05105785270857,33.05105785270857,35.735444065943156
tynA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
nagB,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
mutT,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
cobS,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
ompN,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
xdhA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
phoA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
lldD,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
glpE,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
yeaE,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
fepG,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
hyaC,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
yehX,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
nanE,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
gcvH,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
ddlA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
mobA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thiC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyfG,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
galP,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
mngB,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
putA,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
nhaB,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
malY,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
cysA,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
kefC,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
pdxA,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
gpmA,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
fruK,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
thiM,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
narY,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
dsbA,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
